trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
238,False,"{'a': 0.6, 'e': 0.09144844271229946}",20,0,-38.48120210542332,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
239,False,"{'a': 0.6, 'e': 0.09053395828517646}",25,9,24.200716098530833,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.6, 'e': 0.08962861870232469}",20,4,15.081943334720929,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.6, 'e': 0.08873233251530144}",30,9,36.55154723412245,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.6, 'e': 0.08784500919014843}",25,14,20.805411517917015,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.6, 'e': 0.08696655909824694}",35,13,41.60462099222042,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.6, 'e': 0.08609689350726446}",25,0,6.907553660429508,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
245,False,"{'a': 0.6, 'e': 0.08523592457219181}",25,1,-7.07660695804541,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 0}",1
246,False,"{'a': 0.6, 'e': 0.0843835653264699}",25,0,30.524423030177317,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
247,False,"{'a': 0.6, 'e': 0.0835397296732052}",25,16,14.612926300908683,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.6, 'e': 0.08270433237647315}",30,6,-13.088264320175437,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 0}",1
249,False,"{'a': 0.6, 'e': 0.08187728905270841}",20,11,15.838347984478673,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.6, 'e': 0.08105851616218133}",25,18,15.076931860349015,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.6, 'e': 0.08024793100055952}",20,13,13.103849306523403,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.6, 'e': 0.07944545169055392}",20,8,22.853133989675413,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.6, 'e': 0.07865099717364837}",25,19,-0.5423345566839006,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.6, 'e': 0.07786448720191189}",20,0,17.136822347047442,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
255,False,"{'a': 0.6, 'e': 0.07708584232989277}",30,4,42.00080356244415,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.6, 'e': 0.07631498390659384}",25,0,37.08009222593859,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
257,False,"{'a': 0.6, 'e': 0.07555183406752791}",20,8,13.180102848827188,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
